analysis_family,scope,dataset,model_scope,method,estimand_scope,scenario,severity,metric,estimate,ci_low_95,ci_high_95,n_dataset_strata,n_seed_clusters,bootstrap_replicates,replicate_unit
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.25,cosine_all,0.9782239849686645,0.9766099771807198,0.9800332150158038,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.25,cosine_all,0.9889794813296369,0.9876169917780768,0.990341970881197,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,mean_shift,0.25,cosine_all,0.993249882122028,0.9921560058062321,0.994343758437824,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.25,sign_all,0.97261722125611,0.968742739462184,0.9765061583478251,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.25,sign_all,0.9504763261429927,0.9438377240043906,0.9570751964085297,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.25,sign_all,0.9870896233396234,0.9851197506197507,0.9890594960594962,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,mean_shift,0.25,sign_all,0.9802857142857142,0.9715185185185187,0.9890529100529101,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.25,spearman_all,0.9322288778759367,0.925235991006089,0.9391058935255014,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.25,spearman_all,0.9129181929181931,0.9010598290598292,0.9241025641025642,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.25,spearman_all,0.9690065359477125,0.9667124183006536,0.9714705882352941,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,mean_shift,0.25,spearman_all,0.9147619047619047,0.8969841269841268,0.9307989417989416,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top3_all,0.8955555555555555,0.8849382716049384,0.9056790123456792,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top3_all,0.8807407407407407,0.8562962962962963,0.902962962962963,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top3_all,0.9251851851851853,0.9111111111111111,0.9407407407407409,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top3_all,0.8807407407407408,0.8725925925925928,0.8925925925925927,1,5,10000,seed_cluster
