record_type,scope,dataset,model,seed,method,method_estimand,predictor,explanation_endpoint,rho,correlation_status,estimate,ci_low_95,ci_high_95,n_conditions,n_seed_clusters,bootstrap_replicates,replicate_unit
block,within_dataset_model_seed,adult,rf,3.0,lime,local_attribution,flip,cosine_instability,0.9267166934265271,ok,0.9267166934265271,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,4.0,lime,local_attribution,flip,cosine_instability,0.9384615384615383,ok,0.9384615384615383,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,0.0,lime,local_attribution,flip,cosine_instability,0.9246153846153846,ok,0.9246153846153846,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,1.0,lime,local_attribution,flip,cosine_instability,0.9615384615384615,ok,0.9615384615384615,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,2.0,lime,local_attribution,flip,cosine_instability,0.9684615384615385,ok,0.9684615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,3.0,lime,local_attribution,flip,cosine_instability,0.9292307692307692,ok,0.9292307692307692,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,4.0,lime,local_attribution,flip,cosine_instability,0.9692307692307693,ok,0.9692307692307693,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,0.0,lime,local_attribution,flip,cosine_instability,0.8553846153846153,ok,0.8553846153846153,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,1.0,lime,local_attribution,flip,cosine_instability,0.8915384615384616,ok,0.8915384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,2.0,lime,local_attribution,flip,cosine_instability,0.9684615384615385,ok,0.9684615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,3.0,lime,local_attribution,flip,cosine_instability,0.9434398543672781,ok,0.9434398543672781,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,4.0,lime,local_attribution,flip,cosine_instability,0.9176923076923077,ok,0.9176923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,0.0,lime,local_attribution,flip,cosine_instability,0.9269230769230768,ok,0.9269230769230768,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,1.0,lime,local_attribution,flip,cosine_instability,0.9611389707216399,ok,0.9611389707216399,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,2.0,lime,local_attribution,flip,cosine_instability,0.9638461538461539,ok,0.9638461538461539,,,25,1,0,single_seed_block
